,county,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage
0,aransas,69488.619833,5746,42008042,689
1,austin,48558.781078,454,2251709,206
2,bastrop,15753.177809399998,476,977022,170
3,bee,15532.2715733,1062,859504,289
4,brazoria,278152.1622086,15191,104941894,5341
5,caldwell,21901.4694847,164,316856,55
6,calhoun,28868.132564800002,2383,4204607,476
7,chambers,183240.585224,3570,30335886,790
8,colorado,44158.2969068,403,1603072,129
9,dewi,7965.6684903999985,722,1097878,221
10,fayette,43391.5831103,469,7354485,105
11,fort bend,275024.51850404,20058,115483864,7905
12,galveston,166086.6823323,17999,151293076,4419
13,goliad,17142.497356,595,795889,127
14,gonzales,6520.8214853,339,400825,136
15,grimes,31341.252409,271,798965,80
16,hardin,193036.434097,4831,64758723,1478
17,harris,1386340.5299718198,131080,1040892739,39335
18,jackson,8776.240544499999,695,473920,241
19,jasper,70720.54101900001,1879,5276422,743
20,jefferson,267953.0285762999,24979,220011258,7514
21,karnes,7123.976386,235,277127,78
22,kleberg,1400.3041124,408,296369,223
23,lavaca,5692.5153316000005,195,163654,84
24,lee,14543.095062999999,134,513044,46
25,liberty,218702.63115567,5904,33983728,1479
26,matagorda,60900.793981300005,2672,4660160,1221
27,montgomery,309176.30510146,8127,72071236,2639
28,newton,64097.571148,1293,7338259,437
29,nueces,49563.91823701,12795,16823606,4405
30,orange,204179.40478800004,14823,173985713,3725
31,polk,47331.2414628,1177,3548082,414
32,refugio,31615.591549,1340,6655462,128
33,sabine,13825.9846234,186,153395,98
34,san jacinto,59000.214427,1591,9835101,383
35,san patricio,58211.40899780001,5899,14452597,1050
36,yler,44751.80885930001,998,2645726,350
37,victoria,28309.1039678,5926,11001659,1432
38,walker,29654.7626176,874,1587254,318
39,waller,48430.04086340001,1082,5520786,293
40,wharton,155692.86553189994,2340,20396505,659
