Year,Period,Establishments,Firms,Average Employment,Average Weekly Wage,Total Wages,Month 1 Employment,Month 2 Employment,Month 3 Employment
2000,01,"487,233","392,484","9,117,427",675,"80,037,886,713","9,040,775","9,115,889","9,195,616"
2000,02,"486,354","391,431","9,282,615",645,"77,831,416,979","9,217,134","9,293,521","9,337,191"
2000,03,"489,932","393,759","9,311,295",657,"79,548,958,475","9,251,169","9,311,673","9,371,042"
2000,04,"490,410","394,072","9,416,084",710,"86,936,767,365","9,371,449","9,411,643","9,465,161"
2001,01,"490,867","393,512","9,317,098",711,"86,154,158,484","9,250,933","9,320,114","9,380,248"
2001,02,"493,458","394,941","9,410,065",669,"81,834,313,834","9,379,553","9,413,619","9,437,024"
2001,03,"495,329","396,920","9,345,876",668,"81,130,583,936","9,310,705","9,358,678","9,368,246"
2001,04,"496,041","396,899","9,336,327",725,"87,962,169,041","9,325,965","9,337,508","9,345,509"
2002,01,"496,552","396,724","9,195,763",705,"84,243,461,320","9,139,632","9,192,573","9,255,085"
2002,02,"497,400","397,211","9,298,284",675,"81,566,131,274","9,265,150","9,315,583","9,314,119"
2002,03,"499,583","398,942","9,250,263",678,"81,474,739,558","9,201,949","9,256,977","9,291,863"
2002,04,"500,580","400,372","9,300,225",731,"88,409,494,320","9,270,053","9,306,769","9,323,853"
2003,01,"500,831","401,034","9,159,435",709,"84,415,613,388","9,124,772","9,157,922","9,195,611"
2003,02,"500,573","400,462","9,229,478",687,"82,369,960,398","9,207,806","9,242,733","9,237,894"
2003,03,"504,060","403,275","9,181,178",694,"82,789,782,053","9,130,233","9,185,623","9,227,677"
2003,04,"505,263","402,131","9,264,851",754,"90,791,148,727","9,233,566","9,260,799","9,300,187"
2004,01,"509,889","405,728","9,196,063",737,"88,113,105,193","9,137,467","9,193,305","9,257,417"
2004,02,"511,032","406,107","9,337,234",706,"85,677,609,687","9,312,320","9,344,243","9,355,139"
2004,03,"515,120","409,423","9,337,659",718,"87,117,790,184","9,294,908","9,339,901","9,378,167"
2004,04,"517,501","411,512","9,455,105",799,"98,214,190,638","9,413,702","9,454,994","9,496,620"
2005,01,"520,255","413,505","9,398,289",759,"92,739,795,051","9,330,505","9,396,715","9,467,648"
2005,02,"521,496","414,231","9,570,699",738,"91,842,841,320","9,539,400","9,574,101","9,598,596"
2005,03,"526,084","418,046","9,599,353",767,"95,770,060,620","9,539,054","9,591,405","9,667,599"
2005,04,"525,678","417,182","9,758,977",823,"104,414,359,985","9,687,944","9,771,624","9,817,364"
2006,01,"530,798","420,948","9,719,010",826,"104,399,066,245","9,633,732","9,715,430","9,807,868"
2006,02,"535,475","423,635","9,905,797",782,"100,685,689,742","9,852,954","9,911,327","9,953,111"
2006,03,"540,284","427,468","9,938,571",786,"101,595,252,894","9,860,189","9,941,352","10,014,171"
2006,04,"542,603","429,028","10,104,642",871,"114,415,268,326","10,037,298","10,111,990","10,164,638"
2007,01,"563,790","447,072","10,040,643",872,"113,809,882,799","9,943,117","10,040,722","10,138,089"
2007,02,"567,234","449,582","10,239,662",827,"110,084,477,740","10,182,711","10,245,975","10,290,301"
2007,03,"572,610","453,775","10,250,363",826,"110,009,177,274","10,196,514","10,252,201","10,302,374"
2007,04,"574,584","455,052","10,411,191",911,"123,355,049,679","10,348,688","10,425,114","10,459,772"
2008,01,"560,565","439,037","10,355,780",903,"121,625,500,754","10,277,644","10,372,705","10,416,992"
2008,02,"563,863","441,057","10,492,177",849,"115,795,131,759","10,457,130","10,509,470","10,509,931"
2008,03,"567,840","444,691","10,443,284",850,"115,330,397,702","10,419,627","10,460,596","10,449,628"
2008,04,"568,377","443,911","10,512,974",933,"127,485,417,717","10,501,787","10,523,371","10,513,763"
2009,01,"566,648","441,411","10,235,729",886,"117,939,896,797","10,240,779","10,235,484","10,230,925"
2009,02,"566,666","441,147","10,192,012",839,"111,100,798,511","10,200,215","10,201,762","10,174,059"
2009,03,"568,097","442,862","10,053,704",844,"110,373,257,044","10,052,515","10,044,808","10,063,789"
2009,04,"568,937","443,138","10,132,473",944,"124,309,841,057","10,105,704","10,140,236","10,151,480"
2010,01,"571,073","444,881","10,036,057",892,"116,351,980,337","9,970,852","10,023,977","10,113,341"
2010,02,"571,694","444,697","10,219,208",864,"114,763,573,649","10,159,873","10,246,349","10,251,401"
2010,03,"575,223","447,737","10,172,064",876,"115,878,400,014","10,139,896","10,166,707","10,209,590"
2010,04,"577,603","449,605","10,330,335",976,"131,097,182,907","10,288,666","10,335,120","10,367,220"
2011,01,"579,963","451,357","10,255,102",944,"125,885,627,037","10,179,367","10,243,910","10,342,030"
2011,02,"581,054","452,091","10,440,560",899,"122,078,356,407","10,409,819","10,442,875","10,468,987"
2011,03,"586,328","456,546","10,432,771",932,"126,340,879,848","10,381,775","10,431,254","10,485,285"
2011,04,"589,690","458,672","10,567,748",973,"133,624,428,113","10,515,491","10,576,111","10,611,642"
2012,01,"593,713","462,015","10,525,219","1,012","138,513,862,518","10,435,045","10,526,203","10,614,408"
2012,02,"594,664","462,479","10,728,580",922,"128,596,603,117","10,668,490","10,734,391","10,782,860"
2012,03,"599,217","466,518","10,737,239",929,"129,678,668,342","10,674,786","10,748,349","10,788,581"
2012,04,"602,311","469,052","10,918,208","1,027","145,799,933,028","10,852,562","10,939,054","10,963,007"
2013,01,"604,588","471,695","10,845,323","1,016","143,182,894,457","10,738,154","10,864,284","10,933,530"
2013,02,"608,074","474,037","11,028,960",944,"135,363,976,795","10,976,428","11,034,922","11,075,529"
2013,03,"612,359","478,355","11,043,667",952,"136,728,424,150","10,989,017","11,048,902","11,093,083"
2013,04,"615,602","480,962","11,209,274","1,027","149,592,971,597","11,143,544","11,236,416","11,247,862"
2014,01,"618,528","483,613","11,147,026","1,062","153,908,963,727","11,062,895","11,151,958","11,226,224"
2014,02,"619,860","484,897","11,364,805",973,"143,777,781,587","11,303,660","11,377,046","11,413,708"
2014,03,"625,834","489,905","11,388,328",988,"146,248,908,552","11,329,564","11,392,662","11,442,758"
2014,04,"630,077","493,396","11,615,028","1,070","161,601,107,572","11,547,691","11,625,513","11,671,881"
2015,01,"632,112","494,693","11,518,949","1,089","163,041,257,819","11,465,037","11,535,165","11,556,644"
2015,02,"637,337","498,441","11,655,410",989,"149,779,242,531","11,611,353","11,661,876","11,693,001"
2015,03,"643,743","503,189","11,652,260",999,"151,273,099,866","11,623,788","11,649,253","11,683,739"
2015,04,"645,737","503,693","11,800,060","1,099","168,615,665,095","11,762,166","11,807,304","11,830,709"
2016,01,"653,471","510,298","11,686,459","1,065","161,761,420,951","11,633,380","11,706,057","11,719,939"
2016,02,"655,468","511,049","11,802,877","1,000","153,489,828,550","11,783,870","11,809,810","11,814,952"
2016,03,"661,715","516,012","11,794,849","1,042","159,708,907,718","11,757,952","11,787,273","11,839,322"
2016,04,"664,759","518,644","11,945,522","1,072","166,469,099,196","11,896,807","11,965,253","11,974,507"
2017,01,"671,537","524,036","11,869,503","1,124","173,475,343,093","11,792,712","11,880,111","11,935,686"
2017,02,"673,992","525,253","12,019,041","1,027","160,425,107,605","11,966,764","12,023,657","12,066,701"
2017,03,"679,286","529,320","11,985,577","1,032","160,801,328,439","11,949,411","11,992,971","12,014,350"
2017,04,"684,768","533,345","12,185,273","1,109","175,658,825,337","12,122,261","12,208,824","12,224,733"
2018,01,"689,047","536,841","12,113,910","1,167","183,851,801,328","12,020,317","12,132,195","12,189,218"
2018,02,"690,712","537,502","12,284,657","1,062","169,624,845,096","12,223,487","12,292,197","12,338,286"
2018,03,"693,660","538,480","12,301,129","1,064","170,181,597,427","12,254,882","12,320,983","12,327,521"
