,year,period,estabs,firms,avg_emp,avg_wage,total_wages,month_1,month_2,month_3
2000-01-01,2000.0,1.0,487233.0,392484.0,9117427.0,675.0,80037886713.0,9040775.0,9115889.0,9195616.0
2000-04-01,2000.0,2.0,486354.0,391431.0,9282615.0,645.0,77831416979.0,9217134.0,9293521.0,9337191.0
2000-07-01,2000.0,3.0,489932.0,393759.0,9311295.0,657.0,79548958475.0,9251169.0,9311673.0,9371042.0
2000-10-01,2000.0,4.0,490410.0,394072.0,9416084.0,710.0,86936767365.0,9371449.0,9411643.0,9465161.0
2001-01-01,2001.0,1.0,490867.0,393512.0,9317098.0,711.0,86154158484.0,9250933.0,9320114.0,9380248.0
2001-04-01,2001.0,2.0,493458.0,394941.0,9410065.0,669.0,81834313834.0,9379553.0,9413619.0,9437024.0
2001-07-01,2001.0,3.0,495329.0,396920.0,9345876.0,668.0,81130583936.0,9310705.0,9358678.0,9368246.0
2001-10-01,2001.0,4.0,496041.0,396899.0,9336327.0,725.0,87962169041.0,9325965.0,9337508.0,9345509.0
2002-01-01,2002.0,1.0,496552.0,396724.0,9195763.0,705.0,84243461320.0,9139632.0,9192573.0,9255085.0
2002-04-01,2002.0,2.0,497400.0,397211.0,9298284.0,675.0,81566131274.0,9265150.0,9315583.0,9314119.0
2002-07-01,2002.0,3.0,499583.0,398942.0,9250263.0,678.0,81474739558.0,9201949.0,9256977.0,9291863.0
2002-10-01,2002.0,4.0,500580.0,400372.0,9300225.0,731.0,88409494320.0,9270053.0,9306769.0,9323853.0
2003-01-01,2003.0,1.0,500831.0,401034.0,9159435.0,709.0,84415613388.0,9124772.0,9157922.0,9195611.0
2003-04-01,2003.0,2.0,500573.0,400462.0,9229478.0,687.0,82369960398.0,9207806.0,9242733.0,9237894.0
2003-07-01,2003.0,3.0,504060.0,403275.0,9181178.0,694.0,82789782053.0,9130233.0,9185623.0,9227677.0
2003-10-01,2003.0,4.0,505263.0,402131.0,9264851.0,754.0,90791148727.0,9233566.0,9260799.0,9300187.0
2004-01-01,2004.0,1.0,509889.0,405728.0,9196063.0,737.0,88113105193.0,9137467.0,9193305.0,9257417.0
2004-04-01,2004.0,2.0,511032.0,406107.0,9337234.0,706.0,85677609687.0,9312320.0,9344243.0,9355139.0
2004-07-01,2004.0,3.0,515120.0,409423.0,9337659.0,718.0,87117790184.0,9294908.0,9339901.0,9378167.0
2004-10-01,2004.0,4.0,517501.0,411512.0,9455105.0,799.0,98214190638.0,9413702.0,9454994.0,9496620.0
2005-01-01,2005.0,1.0,520255.0,413505.0,9398289.0,759.0,92739795051.0,9330505.0,9396715.0,9467648.0
2005-04-01,2005.0,2.0,521496.0,414231.0,9570699.0,738.0,91842841320.0,9539400.0,9574101.0,9598596.0
2005-07-01,2005.0,3.0,526084.0,418046.0,9599353.0,767.0,95770060620.0,9539054.0,9591405.0,9667599.0
2005-10-01,2005.0,4.0,525678.0,417182.0,9758977.0,823.0,104414359985.0,9687944.0,9771624.0,9817364.0
2006-01-01,2006.0,1.0,530798.0,420948.0,9719010.0,826.0,104399066245.0,9633732.0,9715430.0,9807868.0
2006-04-01,2006.0,2.0,535475.0,423635.0,9905797.0,782.0,100685689742.0,9852954.0,9911327.0,9953111.0
2006-07-01,2006.0,3.0,540284.0,427468.0,9938571.0,786.0,101595252894.0,9860189.0,9941352.0,10014171.0
2006-10-01,2006.0,4.0,542603.0,429028.0,10104642.0,871.0,114415268326.0,10037298.0,10111990.0,10164638.0
2007-01-01,2007.0,1.0,563790.0,447072.0,10040643.0,872.0,113809882799.0,9943117.0,10040722.0,10138089.0
2007-04-01,2007.0,2.0,567234.0,449582.0,10239662.0,827.0,110084477740.0,10182711.0,10245975.0,10290301.0
2007-07-01,2007.0,3.0,572610.0,453775.0,10250363.0,826.0,110009177274.0,10196514.0,10252201.0,10302374.0
2007-10-01,2007.0,4.0,574584.0,455052.0,10411191.0,911.0,123355049679.0,10348688.0,10425114.0,10459772.0
2008-01-01,2008.0,1.0,560565.0,439037.0,10355780.0,903.0,121625500754.0,10277644.0,10372705.0,10416992.0
2008-04-01,2008.0,2.0,563863.0,441057.0,10492177.0,849.0,115795131759.0,10457130.0,10509470.0,10509931.0
2008-07-01,2008.0,3.0,567840.0,444691.0,10443284.0,850.0,115330397702.0,10419627.0,10460596.0,10449628.0
2008-10-01,2008.0,4.0,568377.0,443911.0,10512974.0,933.0,127485417717.0,10501787.0,10523371.0,10513763.0
2009-01-01,2009.0,1.0,566648.0,441411.0,10235729.0,886.0,117939896797.0,10240779.0,10235484.0,10230925.0
2009-04-01,2009.0,2.0,566666.0,441147.0,10192012.0,839.0,111100798511.0,10200215.0,10201762.0,10174059.0
2009-07-01,2009.0,3.0,568097.0,442862.0,10053704.0,844.0,110373257044.0,10052515.0,10044808.0,10063789.0
2009-10-01,2009.0,4.0,568937.0,443138.0,10132473.0,944.0,124309841057.0,10105704.0,10140236.0,10151480.0
2010-01-01,2010.0,1.0,571073.0,444881.0,10036057.0,892.0,116351980337.0,9970852.0,10023977.0,10113341.0
2010-04-01,2010.0,2.0,571694.0,444697.0,10219208.0,864.0,114763573649.0,10159873.0,10246349.0,10251401.0
2010-07-01,2010.0,3.0,575223.0,447737.0,10172064.0,876.0,115878400014.0,10139896.0,10166707.0,10209590.0
2010-10-01,2010.0,4.0,577603.0,449605.0,10330335.0,976.0,131097182907.0,10288666.0,10335120.0,10367220.0
2011-01-01,2011.0,1.0,579963.0,451357.0,10255102.0,944.0,125885627037.0,10179367.0,10243910.0,10342030.0
2011-04-01,2011.0,2.0,581054.0,452091.0,10440560.0,899.0,122078356407.0,10409819.0,10442875.0,10468987.0
2011-07-01,2011.0,3.0,586328.0,456546.0,10432771.0,932.0,126340879848.0,10381775.0,10431254.0,10485285.0
2011-10-01,2011.0,4.0,589690.0,458672.0,10567748.0,973.0,133624428113.0,10515491.0,10576111.0,10611642.0
2012-01-01,2012.0,1.0,593713.0,462015.0,10525219.0,1012.0,138513862518.0,10435045.0,10526203.0,10614408.0
2012-04-01,2012.0,2.0,594664.0,462479.0,10728580.0,922.0,128596603117.0,10668490.0,10734391.0,10782860.0
2012-07-01,2012.0,3.0,599217.0,466518.0,10737239.0,929.0,129678668342.0,10674786.0,10748349.0,10788581.0
2012-10-01,2012.0,4.0,602311.0,469052.0,10918208.0,1027.0,145799933028.0,10852562.0,10939054.0,10963007.0
2013-01-01,2013.0,1.0,604588.0,471695.0,10845323.0,1016.0,143182894457.0,10738154.0,10864284.0,10933530.0
2013-04-01,2013.0,2.0,608074.0,474037.0,11028960.0,944.0,135363976795.0,10976428.0,11034922.0,11075529.0
2013-07-01,2013.0,3.0,612359.0,478355.0,11043667.0,952.0,136728424150.0,10989017.0,11048902.0,11093083.0
2013-10-01,2013.0,4.0,615602.0,480962.0,11209274.0,1027.0,149592971597.0,11143544.0,11236416.0,11247862.0
2014-01-01,2014.0,1.0,618528.0,483613.0,11147026.0,1062.0,153908963727.0,11062895.0,11151958.0,11226224.0
2014-04-01,2014.0,2.0,619860.0,484897.0,11364805.0,973.0,143777781587.0,11303660.0,11377046.0,11413708.0
2014-07-01,2014.0,3.0,625834.0,489905.0,11388328.0,988.0,146248908552.0,11329564.0,11392662.0,11442758.0
2014-10-01,2014.0,4.0,630077.0,493396.0,11615028.0,1070.0,161601107572.0,11547691.0,11625513.0,11671881.0
2015-01-01,2015.0,1.0,632112.0,494693.0,11518949.0,1089.0,163041257819.0,11465037.0,11535165.0,11556644.0
2015-04-01,2015.0,2.0,637337.0,498441.0,11655410.0,989.0,149779242531.0,11611353.0,11661876.0,11693001.0
2015-07-01,2015.0,3.0,643743.0,503189.0,11652260.0,999.0,151273099866.0,11623788.0,11649253.0,11683739.0
2015-10-01,2015.0,4.0,645737.0,503693.0,11800060.0,1099.0,168615665095.0,11762166.0,11807304.0,11830709.0
2016-01-01,2016.0,1.0,653471.0,510298.0,11686459.0,1065.0,161761420951.0,11633380.0,11706057.0,11719939.0
2016-04-01,2016.0,2.0,655468.0,511049.0,11802877.0,1000.0,153489828550.0,11783870.0,11809810.0,11814952.0
2016-07-01,2016.0,3.0,661715.0,516012.0,11794849.0,1042.0,159708907718.0,11757952.0,11787273.0,11839322.0
2016-10-01,2016.0,4.0,664759.0,518644.0,11945522.0,1072.0,166469099196.0,11896807.0,11965253.0,11974507.0
2017-01-01,2017.0,1.0,671537.0,524036.0,11869503.0,1124.0,173475343093.0,11792712.0,11880111.0,11935686.0
2017-04-01,2017.0,2.0,673992.0,525253.0,12019041.0,1027.0,160425107605.0,11966764.0,12023657.0,12066701.0
2017-07-01,2017.0,3.0,679286.0,529320.0,11985577.0,1032.0,160801328439.0,11949411.0,11992971.0,12014350.0
2017-10-01,2017.0,4.0,684768.0,533345.0,12185273.0,1109.0,175658825337.0,12122261.0,12208824.0,12224733.0
2018-01-01,2018.0,1.0,689047.0,536841.0,12113910.0,1167.0,183851801328.0,12020317.0,12132195.0,12189218.0
2018-04-01,2018.0,2.0,690712.0,537502.0,12284657.0,1062.0,169624845096.0,12223487.0,12292197.0,12338286.0
2018-07-01,2018.0,3.0,693660.0,538480.0,12301129.0,1064.0,170181597427.0,12254882.0,12320983.0,12327521.0
